静謐,せいひつ
辺鄙,へんぴ
胡散,うさん
豪放磊落,ごうほうらいらく
羸弱,るいじゃく
敏捷,びんしょう
昵懇,じっこん
朧気,おぼろげ
磊落,らいらく
常套,じょうとう
阿房,あほう
驕傲,きょうごう
鄙俗,ひぞく
散々,さんざん
豊穣,ほうじょう
卑猥,ひわい
瑣細,ささい
貪婪,どんらん
無疵,むきず
上々,じょうじょう
獰猛,どうもう
懦弱,だじゃく
煩瑣,はんさ
瑣末,さまつ
合目的々,ごうもくてきてき
悲愴,ひそう
稀代,きたい
懶惰,らんだ
豪宕,ごうとう
伊達,だて
内々,ないない
放埒,ほうらつ
英邁,えいまい
大々的,だいだいてき
下手糞,へたくそ
貪慾,どんよく
我侭,わがまま
雄勁,ゆうけい
狭隘,きょうあい
有耶無耶,うやむや
蒙昧,もうまい
呑気,のんき
素樸,そぼく
覿面,てきめん
質樸,しつぼく
味噌糞,みそくそ
剛愎,ごうふく
奸悪,かんあく
軽躁,けいそう
無愛嬌,ぶあいきょう
虚心坦懐,きょしんたんかい
綜合的,そうごうてき
斯様,かよう
悠々自適,ゆうゆうじてき
魁偉,かいい
蕪雑,ぶざつ
蒼白,そうはく
倨傲,きょごう
剴切,がいせつ
鞏固,きょうこ
無礙,むげ
芒洋,ぼうよう
険峻,けんしゅん
些細,ささい
豊饒,ほうじょう
小癪,こしゃく
獰悪,どうあく
豊艷,ほうえん
剽軽,ひょうきん
軽佻,けいちょう
贅沢,ぜいたく
殷盛,いんせい
剛毅,ごうき
癇症,かんしょう
種々,しゅじゅ
究竟,くっきょう
艷冶,えんや
軽捷,けいしょう
華奢,きゃしゃ
高邁,こうまい
聰明,そうめい
様々,さまざま
卑賎,ひせん
不躾,ぶしつけ
僭越,せんえつ
赤裸々,せきらら
不憫,ふびん
凄艷,せいえん
尠少,せんしょう
小慾,しょうよく
兇猛,きょうもう
突慳貪,つっけんどん
迂遠,うえん
剣呑,けんのん
洒落,しゃらく
開豁,かいかつ
簡捷,かんしょう
喧騒,けんそう
躁急,そうきゅう
篦棒,べらぼう
平坦,へいたん
色々,いろいろ
綺麗,きれい
犀利,さいり
劃期的,かっきてき
淫靡,いんび
淫猥,いんわい
姦悪,かんあく
暢達,ちょうたつ
陋劣,ろうれつ
飄逸,ひょういつ
超邁,ちょうまい
堅牢,けんろう
兇悪,きょうあく
鷹揚,おうよう
佶屈,きっくつ
醇朴,じゅんぼく
狷介,けんかい
樸直,ぼくちょく
木訥,ぼくとつ
幽艷,ゆうえん
厭味,いやみ
迂愚,うぐ
茫洋,ぼうよう
嶮難,けんなん
簡勁,かんけい
別々,べつべつ
脆弱,ぜいじゃく
峻険,しゅんけん
粗笨,そほん
婉曲,えんきょく
不恰好,ぶかっこう
稀有,けう
宏大,こうだい
尾篭,びろう
尾篭,おこ
清冽,せいれつ
薄倖,はっこう
不愍,ふびん
魯鈍,ろどん
優渥,ゆうあく
妖婉,ようえん
強靭,きょうじん
寛闊,かんかつ
猥雑,わいざつ
固陋,ころう
淫佚,いんいつ
杓子定規,しゃくしじょうぎ
梟悪,きょうあく
粉々,こなごな
粗忽,そこつ
訥弁,とつべん
急峻,きゅうしゅん
慳貪,けんどん
僭上,せんじょう
清婉,せいえん
聡明,そうめい
宏壮,こうそう
淳朴,じゅんぼく
雅馴,がじゅん
蓮葉,はすっぱ
宏遠,こうえん
敬虔,けいけん
偏頗,へんぱ
矮小,わいしょう
不逞,ふてい
幽邃,ゆうすい
濃艷,のうえん
億劫,おっくう
摩訶不思議,まかふしぎ
峻烈,しゅんれつ
出鱈目,でたらめ
雄渾,ゆうこん
依怙地,いこじ
嵩高,かさだか
艷美,えんび
流暢,りゅうちょう
晦渋,かいじゅう
兇暴,きょうぼう
無闇矢鱈,むやみやたら
雑駁,ざっぱく
遼遠,りょうえん
無垢,むく
峻厳,しゅんげん
下賎,げせん
豪奢,ごうしゃ
妖艷,ようえん
淳良,じゅんりょう
暢気,のんき
老獪,ろうかい
姑息,こそく
宏量,こうりょう
邪慳,じゃけん
清楚,せいそ
理智的,りちてき
芳醇,ほうじゅん
明晰,めいせき
躁鬱,そううつ
稠密,ちょうみつ
稠密,ちゅうみつ
小綺麗,こぎれい
執拗,しつよう
沈毅,ちんき
饒舌,じょうぜつ
大袈裟,おおげさ
淫蕩,いんとう
可憐,かれん
気侭,きまま
少慾,しょうよく
醇美,じゅんび
我儘,わがまま
杜漏,ずろう
健啖,けんたん
洒脱,しゃだつ
不羈,ふき
無聊,ぶりょう
鄭重,ていちょう
貧賎,ひんせん
直截,ちょくせつ
直截,ちょくさい
朴訥,ぼくとつ
強靱,きょうじん
無碍,むげ
驕慢,きょうまん
精悍,せいかん
慧眼,けいがん
微賎,びせん
活溌,かっぱつ
艷麗,えんれい
糞味噌,くそみそ
白几帳面,しらきちょうめん
扁平,へんぺい
野鄙,やひ
清艷,せいえん
些少,さしょう
強慾,ごうよく
滅多矢鱈,めったやたら
胴慾,どうよく
快闊,かいかつ
放佚,ほういつ
恰好,かっこう
几帳面,きちょうめん
自侭,じまま
莫大,ばくだい
闊達,かったつ
怪訝,けげん
無慙,むざん
褊狭,へんきょう
炯眼,けいがん
優艷,ゆうえん
卑怯,ひきょう
稀薄,きはく
優婉,ゆうえん
放肆,ほうし
鄙劣,ひれつ
鼻高々,はなたかだか
広闊,こうかつ
熾烈,しれつ
明媚,めいび
等々,とうとう
旧臘,きゅうろう
一昨々日,さきおととい
屡次,るじ
所々,ところどころ
各々,おのおの
少々,しょうしょう
津々浦々,つつうらうら
生々世々,しょうじょうせぜ
数々,かずかず
世々,よよ
代々,だいだい
年々,ねんねん
処々,ところどころ
